Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1710444777.4052439,1719,1710444777,405151844,map,0.0005213544263875963,0.00012885142982428072,6.526125286063913e-08,0.9999998557934231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7012505262506624e-05,-0.006411758854621717,-9.810436516690755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444777.4225066,1720,1710444777,422311544,map,0.0005213544263875963,0.00012885142982428072,6.526125286063913e-08,0.9999998557934231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.683494552625512e-05,-0.0064162624447973125,-9.81043605102949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444777.438657,1721,1710444777,438510180,map,0.0005213544263875963,0.00012885142982428072,6.526125286063913e-08,0.9999998557934231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.782329710207694e-05,-0.006420746480837748,-9.81043698235202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444777.4552894,1722,1710444777,455190420,map,0.0005213544263875963,0.00012885142982428072,6.526125286063913e-08,0.9999998557934231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6311936359585785e-05,-0.00642512456075046,-9.810436516690755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444777.4724224,1723,1710444777,472279787,map,0.0005213544263875963,0.00012885142982428072,6.526125286063913e-08,0.9999998557934231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7304991284005732e-05,-0.0064294728547131036,-9.810436516690755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444777.4886003,1724,1710444777,488416672,map,0.0005213544263875963,0.00012885142982428072,6.526125286063913e-08,0.9999998557934231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5870469517488435e-05,-0.0064486136245501275,-9.81043605102949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444777.5057762,1725,1710444777,505665541,map,0.0005213544263875963,0.00012885142982428072,6.526125286063913e-08,0.9999998557934231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6859950856206457e-05,-0.0064381660320334206,-9.81043698235202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444777.5224154,1726,1710444777,522282362,map,0.0005213544263875963,0.00012885142982428072,6.526125286063913e-08,0.9999998557934231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.644151980850831e-05,-0.006441919061742027,-9.810436516690755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444777.5386133,1727,1710444777,538476467,map,0.0005213544263875963,0.00012885142982428072,6.526125286063913e-08,0.9999998557934231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.635617430412381e-05,-0.006445979728018896,-9.810436516690755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444777.5549762,1728,1710444777,554864407,map,0.0005213544263875963,0.00012885142982428072,6.526125286063913e-08,0.9999998557934231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.657854708041278e-05,-0.006450022204402594,-9.810436516690755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
