Time,x,y,z
1710444777.4058104,9.862899711457967e-06,-0.0032197069091664,-0.00022377509714852144
1710444777.4230297,1.0152702731906415e-05,-0.003330267679503262,-0.00023141138925513602
1710444777.4392312,1.043132552183159e-05,-0.0034341333300236436,-0.00023858408068341334
1710444777.4557405,1.0711879968231055e-05,-0.003540405823625548,-0.00024592184735711695
1710444777.4730332,1.0999663158441429e-05,-0.0036511833991708983,-0.000253561546098436
1710444777.4890873,1.126418329630183e-05,-0.0037545586382582287,-0.0002606742007723751
1710444777.506397,1.1545992477463215e-05,-0.0038662741008588593,-0.00026835962762985566
1710444777.5230033,1.1820326997975688e-05,-0.003973093738082236,-0.00027571587344518575
1710444777.5391364,1.2083145396439078e-05,-0.00407707467744814,-0.0002828685947797928
1710444777.555634,1.2351943547210344e-05,-0.0041830425157909,-0.0002901534815999112
1710444777.5725932,1.2621762922654039e-05,-0.004292679066765513,-0.0002976859348045529
1710444777.5886412,1.2878182103402064e-05,-0.004396682220617217,-0.0003048307724504026
1710444777.6052606,1.3147352767585508e-05,-0.0045041179456361945,-0.0003122108998933502
1710444777.6224644,1.3413967359615384e-05,-0.0046150453933292675,-0.00031982237848886556
1710444777.6382675,1.3661650483281787e-05,-0.0047172326727461375,-0.00032682637759706365
1710444777.6553059,1.3927263984214509e-05,-0.004827674552404368,-0.000334395802053405
1710444777.6720521,1.418585853037925e-05,-0.004936192110524503,-0.00034182922443943056
1710444777.6887162,1.1765732668723703e-05,-0.005046350327571876,-0.00034919191928064596
1710444777.705105,1.2041782934904872e-05,-0.005150897758033373,-0.0003564791495443786
1710444777.7215934,1.5089559072005827e-05,-0.005252473631683453,-0.00036380001783658497
1710444777.738701,1.5400445271204966e-05,-0.005362055505436343,-0.00037139476729576505
1710444777.7550611,1.5615149620763785e-05,-0.005467206211101806,-0.0003786443188305421
1710444777.7718801,1.5882493037563987e-05,-0.0055755915472428105,-0.00038608520758301196
1710444777.7888148,1.6119485363639958e-05,-0.005685423474380668,-0.00039360267295070493
1710444777.8052807,1.636251023977437e-05,-0.005792230242666953,-0.0004009005382473422
1710444777.8225622,1.662957932175117e-05,-0.005904588937163315,-0.00040856921908559045
1710444777.8386447,1.6872929088592435e-05,-0.0060090191242052945,-0.0004156884013117388
1710444777.8559287,1.7123385868007325e-05,-0.006121595361218366,-0.0004233498946821608
1710444777.8725479,1.7363517871043117e-05,-0.0062299926457073255,-0.0004307147399098244
1710444777.888361,1.7592456961757408e-05,-0.0063332332923009185,-0.00043772564421233265
1710444777.9056928,1.7844902180912236e-05,-0.0064462201701465304,-0.00044539934223564653
1710444777.9217353,1.8078842517008137e-05,-0.00655096334293838,-0.00045250200766300215
1710444777.9381654,1.8317304841192583e-05,-0.006658415995791488,-0.000459776748698952
1710444777.9547632,1.8558335683032075e-05,-0.0067670452161877085,-0.0004671277774024593
1710444777.9718382,1.880662612326855e-05,-0.00687865374405863,-0.00047467194237363407
1710444777.988358,1.6379393185706456e-05,-0.006989469993051964,-0.0004819969235328812
1710444778.005269,1.6642501148069658e-05,-0.007097585896132976,-0.000489455773629675
1710444778.022381,1.9784826091736286e-05,-0.007203897645081929,-0.0004970257430717594
1710444778.0382197,2.004616397572036e-05,-0.0073072248106414465,-0.0005040967885702666
1710444778.0552619,2.024106758787287e-05,-0.007418220970055965,-0.0005116582151184683
1710444778.0717072,2.0502879826576193e-05,-0.007525149254386551,-0.0005189129961034275
1710444778.0879948,2.0717542828284047e-05,-0.007631507172459643,-0.0005261085360407253
1710444778.1051168,2.095472057206916e-05,-0.007744027800624207,-0.0005337169924864248
1710444778.122153,2.1201114679452477e-05,-0.007855061600117421,-0.0005412214999987528
1710444778.138407,2.1425007553029002e-05,-0.007962626275702734,-0.0005484802605500282
1710444778.1553533,2.1658457170605126e-05,-0.008073873855750391,-0.0005559759425305608
1710444778.1720803,2.189164288534916e-05,-0.00818408133268423,-0.0005633902822966677
1710444778.1882713,2.2115209063750938e-05,-0.008290336519443081,-0.000570536023398271
1710444778.2052495,2.234814005157479e-05,-0.008402168421578418,-0.0005780542497565338
1710444778.2218528,2.2580198236662665e-05,-0.00851222767417778,-0.0005854426521478295
1710444778.238313,2.2810924514590463e-05,-0.008620705099762925,-0.0005927304347319923
1710444778.2554562,2.3050280284147872e-05,-0.008733545450813797,-0.0006003090754364961
1710444778.2726173,2.3288924980041063e-05,-0.008847125864844823,-0.0006079196994571797
1710444778.2887847,2.0907682228820537e-05,-0.008956504338017202,-0.0006145555032817618
1710444778.3053367,2.130198994919719e-05,-0.009064883858576045,-0.0006219296059481506
1710444778.322006,2.4192262744880674e-05,-0.009169673434348475,-0.0006299184811715597
1710444778.3391118,2.4391143790738594e-05,-0.009280401484373597,-0.0006375228343948493
1710444778.3557072,2.4744545709782263e-05,-0.009389221207710314,-0.0006448866473406314
1710444778.3725405,2.4953159055980016e-05,-0.00949966171880573,-0.0006523456711954416
1710444778.3888297,2.5169020112778927e-05,-0.009606886617426601,-0.0006595640173090728
1710444778.4056764,2.5394563128575188e-05,-0.009717644296738437,-0.0006669963080366861
1710444778.4222705,2.562116679453321e-05,-0.009827613791148958,-0.0006743726787735675
1710444778.4387646,2.5844474363587e-05,-0.00993658843737839,-0.0006816798140725155
1710444778.4553413,2.6076351600861218e-05,-0.010046306385044706,-0.0006890261911334883
1710444778.4737558,2.632088392734346e-05,-0.010168342534259939,-0.0006971855883521219
1710444778.4889379,2.6527888677820485e-05,-0.010268833859596578,-0.0007039024299015788
1710444778.5057511,2.6764206484411637e-05,-0.010380320565460335,-0.0007113522199032193
1710444778.5219831,2.6983408991934384e-05,-0.010487955647447944,-0.0007185348685943423
1710444778.5386553,2.7210028895983813e-05,-0.010598658861830207,-0.0007259122106174009
1710444778.556201,2.7448117251281298e-05,-0.010715573741812418,-0.0007337016807498746
1710444778.5727572,2.7670862563630403e-05,-0.01082449477650493,-0.0007409650957804176
