Time,x,y,z
1710444585.091221,4.719787123047871e-06,-0.0016845784504454548,-0.00012038844909254774
1710444585.1079936,5.057140709671443e-06,-0.0017988983468275768,-0.00012849922359126285
1710444585.1238263,5.3428708060350175e-06,-0.001906420219100767,-0.00013613656605537803
1710444585.141334,5.674955960549284e-06,-0.0020252664240113954,-0.00013626937283306862
1710444585.1571786,5.960563836395378e-06,-0.0021326593131429324,-0.00015133411080379597
1710444585.1739206,6.2993247526159835e-06,-0.002246362652881259,-0.0001596391117045307
1710444585.1902373,6.601796809078619e-06,-0.002357055445017147,-0.00016747962943998733
1710444585.207201,6.914011856711778e-06,-0.002472050758258628,-0.00017564192038984096
1710444585.2241514,7.228834323568402e-06,-0.0025871335774948637,-0.0001838113203503797
1710444585.2406864,7.526210536661197e-06,-0.0026994083623668066,-0.00019177343127108935
1710444585.2570975,7.856355493155142e-06,-0.0028108751745659537,-0.00019967880981803003
1710444585.2742333,8.174421825521204e-06,-0.0029275381802702258,-0.00019980919921154012
1710444585.291056,8.47580662576253e-06,-0.0030412928756527683,-0.0002157427108313575
1710444585.3066976,8.77112168248591e-06,-0.00314766427397302,-0.00022350057388973883
1710444585.3234499,9.071098845746746e-06,-0.0032612580578906796,-0.00023156001687893844
1710444585.339958,9.38187426943017e-06,-0.0033733761992395983,-0.0002395155301874703
1710444585.3566394,9.713298715719008e-06,-0.003486719774731567,-0.00024755876463333505
1710444585.3737788,1.0019339445492026e-05,-0.0036027579202087506,-0.000255793984696966
1710444585.390406,1.032543424932473e-05,-0.003715921583787026,-0.0002638259481591802
1710444585.4063234,1.0618195791518168e-05,-0.0038236111984573653,-0.00026394633366027973
1710444585.42294,1.0916528608387872e-05,-0.003936536401595498,-0.0002797757008775343
1710444585.4410875,1.125517200237126e-05,-0.004059433322794441,-0.00028875519162141044
1710444585.4560156,1.1551701888409234e-05,-0.004160804745313045,-0.0002959450569853501
1710444585.4742262,1.1877087119882924e-05,-0.004284241214971463,-0.00030471923954219967
1710444585.4902015,1.216791073980672e-05,-0.004392167499323142,-0.00031238358667417073
1710444585.507167,1.2482031679126113e-05,-0.004507440015261825,-0.00032057890814668423
1710444585.5239384,1.2781606499449147e-05,-0.004621111094670298,-0.00032865237593597313
1710444585.5405934,1.3080830315427528e-05,-0.004734260000986846,-0.00032877888643512257
1710444585.5573807,1.3416542525483209e-05,-0.004848102487146085,-0.000344754778206773
1710444585.5736237,1.3716238898953516e-05,-0.004958194032062757,-0.0003528036469406395
1710444585.5900123,1.4009062412887383e-05,-0.0050690266590759404,-0.00036067786028272267
1710444585.6071053,1.4320607426325776e-05,-0.005184882890394254,-0.0003689182671463446
1710444585.6233253,1.4620152529997268e-05,-0.00529493480382541,-0.00037673804022712865
1710444585.6398818,1.491592480684067e-05,-0.005407090509605811,-0.0003847076592864716
1710444585.6565068,1.5213206267043288e-05,-0.005519529671605042,-0.00039271530842785305
1710444585.6729865,1.5542605622228627e-05,-0.005631176681428754,-0.0003928401601785829
1710444585.6897953,1.5852056444028406e-05,-0.005745147052944785,-0.0004088344859652807
1710444585.7061698,1.6145075755610517e-05,-0.005855862958670882,-0.0004169331236671134
1710444585.7231824,1.644877520834779e-05,-0.005971099608876772,-0.00042513318322710277
1710444585.7401288,1.6767004487383884e-05,-0.006086056165401689,-0.00043330486404375524
1710444585.756614,1.706144701198379e-05,-0.006197372391819822,-0.0004412352052710416
1710444585.7736404,1.736607003693869e-05,-0.006312729911545426,-0.0004494363849506581
1710444585.7903588,1.7663496123399294e-05,-0.006425322654076951,-0.0004574497212876625
1710444585.8063352,1.7982006951828295e-05,-0.006533206857053232,-0.00045757041462367125
1710444585.823595,1.8301035741331427e-05,-0.00665073383414221,-0.00047407123009726216
1710444585.8395236,1.858690807517181e-05,-0.006758482411127396,-0.00048196457202890215
1710444585.8564725,1.888877480541348e-05,-0.00687310639330019,-0.0004901076687545748
1710444585.872976,1.919001854424113e-05,-0.006984735516205564,-0.0004980628968909739
1710444585.8901596,1.950550155307094e-05,-0.007100803219885018,-0.000506317210945005
1710444585.9064415,1.9795099791230247e-05,-0.007210460933756087,-0.0005141325762362111
1710444585.922817,2.0089807912057882e-05,-0.0073221472894442535,-0.0005220759323244027
1710444585.9393826,2.0386127175549352e-05,-0.007434013976224961,-0.000522201128788052
1710444585.956103,2.0713805809386915e-05,-0.007547151678297657,-0.0005380913078416927
1710444585.9732854,2.10354459023609e-05,-0.007663255045088617,-0.0005465993908929231
1710444585.989528,2.1327229156020868e-05,-0.007773235035545794,-0.0005544310238748694
1710444586.0063305,2.162567078122765e-05,-0.007886303906115643,-0.0005624826608326372
1710444586.023255,2.1929796377376695e-05,-0.008001124645111357,-0.0005706681925882094
1710444586.0400326,2.223609273896195e-05,-0.00811483623025012,-0.0005787574714493471
1710444586.0565243,2.2539839186531682e-05,-0.008226134889571125,-0.000586692225386366
1710444586.0731676,2.2836677178154886e-05,-0.008338708328216706,-0.0005936167105688632
1710444586.089743,2.3134242005546244e-05,-0.008450766035982079,-0.0005959567285292067
1710444586.1063101,2.3430034242444534e-05,-0.00856284263967781,-0.0006106072174579183
1710444586.1228483,2.372630232778078e-05,-0.008674837856182626,-0.0006187603599146529
1710444586.1395535,2.4060584579818976e-05,-0.00878786412557328,-0.0006267946520238255
1710444586.1562247,2.4367085364975768e-05,-0.008900685303160655,-0.0006348225905026744
1710444586.1729481,2.4667463233204074e-05,-0.00901379087333299,-0.0006428799329265471
1710444586.189391,2.49616026299862e-05,-0.009125230045715655,-0.0006508104878659248
1710444586.2059906,2.5258250860268943e-05,-0.00923740631029276,-0.0006509359778004812
1710444586.2228544,2.5559493038590244e-05,-0.009351546033858871,-0.0006669766528476119
1710444586.239722,2.587592432739753e-05,-0.009465441676833922,-0.0006753025711716224
1710444586.2559564,2.6167960241815053e-05,-0.009575588871805383,-0.0006831511400061085
1710444586.2729743,2.6472559738793005e-05,-0.00969056838695761,-0.0006913277526193056
1710444586.2898927,2.6775956449875585e-05,-0.009805134074772444,-0.0006994751110365022
1710444586.3060906,2.7065963634345624e-05,-0.009914698390863338,-0.0007072671944414035
1710444586.3230152,2.7369431468830548e-05,-0.010029080175372308,-0.0007154189963031667
1710444586.339428,2.767665489431919e-05,-0.010140101926723348,-0.000722237990150679
1710444586.3561618,2.8008694330553576e-05,-0.010253428491400384,-0.0007245959270508385
1710444586.3728955,2.830710236670501e-05,-0.010366151979711793,-0.0007393505018842107
1710444586.389969,2.861451265792131e-05,-0.010481834896912177,-0.0007477707680007814
1710444586.4065046,2.891047359746526e-05,-0.010593716521797754,-0.000755729623182058
1710444586.423697,2.9218266424274356e-05,-0.010709811308900412,-0.0007640055262345994
1710444586.4395852,2.9503457871155536e-05,-0.010817137761927411,-0.0007716567847359442
1710444586.4562964,2.980311668836672e-05,-0.010930243791084074,-0.0007797037287861688
1710444586.4732597,3.0122755473023865e-05,-0.011044960529975101,-0.0007878653854628342
1710444586.4901357,3.0424392179721988e-05,-0.011158827598887387,-0.000787992830117259
1710444586.506392,3.071556262524871e-05,-0.011268014866264364,-0.0008033729052717726
1710444586.5227365,3.101044090655674e-05,-0.011379121238118836,-0.0008115005130271944
1710444586.5394323,3.1310225774696434e-05,-0.011491863221122276,-0.0008195391703871058
1710444586.556059,3.160754882990463e-05,-0.01160369610782006,-0.0008275134073135026
