Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1710446120.8501244,270,1710446120,850015402,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7053542656261277e-05,-0.0067508359711103754,-9.810878894892685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710446120.8658702,271,1710446120,865738630,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7082798363838208e-05,-0.006750494001118751,-9.810487739429925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710446120.8829257,272,1710446120,882797956,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.798825536350828e-05,-0.0067504160119517785,-9.810476097898295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710446120.8998413,273,1710446120,899732113,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.711017468596832e-05,-0.006750347799852385,-9.810476097898295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710446120.916556,274,1710446120,916409492,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7166319993924483e-05,-0.006750278678258333,-9.810476097898295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710446120.9328575,275,1710446120,932599068,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7132648263454556e-05,-0.006750210466158941,-9.810476097898295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710446120.949449,276,1710446120,949352741,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.714789384530458e-05,-0.0067501399803229015,-9.810476097898295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710446120.9657738,277,1710446120,965584278,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8057463110862542e-05,-0.006749744577520086,-9.810002054730333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710446120.9824975,278,1710446120,982357025,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8955292434626523e-05,-0.006750326654101573,-9.810945484453608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710446120.9989197,279,1710446120,998720407,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7168943672851662e-05,-0.006749944666344972,-9.810489602074986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
