Time,x,y,z
1710444410.4540942,1.4662881952851326e-05,-0.005660240783120096,-0.00043671257824434294
1710444410.4703515,1.4930478686773331e-05,-0.005770857917145321,-0.0004446202614693364
1710444410.4872186,1.5238803756252437e-05,-0.005885836878687189,-0.0004528140642777524
1710444410.504206,1.553793957536884e-05,-0.00600146676373441,-0.0004610798271380717
1710444410.520354,1.580984669064846e-05,-0.006110832125079467,-0.00046120248902934845
1710444410.5369732,1.609368567603984e-05,-0.006224040168479099,-0.00047719042647547473
1710444410.5538845,1.637471749668664e-05,-0.00633926986152402,-0.0004856404990742089
1710444410.57135,1.6710567252825598e-05,-0.006458094812946618,-0.0004941346480372039
1710444410.587411,1.6976974751415808e-05,-0.006567373825888784,-0.0005019306741672621
1710444410.607814,1.732633808669851e-05,-0.006706226388690078,-0.0005118361900347736
1710444410.6236486,1.7596777609823787e-05,-0.006813742645387546,-0.0005195062204738486
1710444410.6378944,1.7833888820035323e-05,-0.006910677676046071,-0.0005264214061181518
1710444410.6540968,1.814573237019624e-05,-0.007020738974442761,-0.0005265449215027288
1710444410.6709108,1.8425724406755322e-05,-0.0071351652058829155,-0.0005426619601901378
1710444410.6872616,1.869925682939176e-05,-0.007246082932668829,-0.0005508129776307493
1710444410.7045763,1.900266366345921e-05,-0.007363963640874577,-0.0005592214601982475
1710444410.7209926,1.927666445609596e-05,-0.007475598130284333,-0.0005672013969363435
1710444410.7376726,1.9574977139389634e-05,-0.007588678488829496,-0.0005752684150570822
1710444410.7545578,1.988343046070174e-05,-0.007703688687893983,-0.0005834728539405648
1710444410.7714493,2.0164580983765812e-05,-0.007818085914867852,-0.00059165033023661
1710444410.7880635,2.044935263515792e-05,-0.007931505262528957,-0.0005917697445626679
1710444410.8043568,2.0731506858213412e-05,-0.008042251658786427,-0.0006073769718620761
1710444410.8215206,2.1019145130955786e-05,-0.00815897027534239,-0.0006159541230486789
1710444410.8378031,2.1318518115274735e-05,-0.008269641660874414,-0.0006238489030725724
1710444410.8545208,2.1616404190916808e-05,-0.008383278916687806,-0.0006319550036400598
1710444410.8712127,2.1897558321938562e-05,-0.008497018602475793,-0.0006400850770199805
1710444410.8876607,2.2173679769898197e-05,-0.008608848116985396,-0.0006480786741491776
1710444410.904672,2.2474663030412026e-05,-0.008724520159849971,-0.000656329789329837
1710444410.9216216,2.2760390989187552e-05,-0.008839805874360878,-0.0006564511658235507
1710444410.9375863,2.3035918232316367e-05,-0.008948051830864017,-0.0006717365578840196
1710444410.954289,2.335515693577302e-05,-0.009061495279773934,-0.0006800725162999052
1710444410.970873,2.3634835289573546e-05,-0.00917439099902977,-0.0006881417663132034
1710444410.9872398,2.39128912077109e-05,-0.009285964460745637,-0.0006960990370339236
1710444411.0039341,2.4200907196058847e-05,-0.009399331011549284,-0.0007042014501778308
1710444411.020974,2.449857803510716e-05,-0.009515248434412704,-0.0007124864990807026
1710444411.037716,2.4781575258645934e-05,-0.009628995386740797,-0.000720616232140886
1710444411.0546644,2.5069357247200328e-05,-0.009744201988514918,-0.0007207455140679266
1710444411.071163,2.53756734632727e-05,-0.009856130553822609,-0.0007365414607794792
1710444411.0877082,2.567350026421644e-05,-0.009968574822256776,-0.0007447861169296793
1710444411.1044662,2.5958003673989723e-05,-0.010082844436640996,-0.0007529356313753448
1710444411.1208768,2.6236520081003624e-05,-0.010194394264296264,-0.0007609075370366251
1710444411.1373801,2.652386730492475e-05,-0.010306432892425338,-0.0007689144603632223
1710444411.154216,2.681920371883871e-05,-0.010420842791746059,-0.0007770906773700578
1710444411.1706274,2.7097966571091752e-05,-0.01053221002806654,-0.0007850492795877116
1710444411.1873603,2.738376804224821e-05,-0.010646125822711655,-0.0007862869172534272
1710444411.203841,2.769237660014163e-05,-0.010758029769329977,-0.0007998505530494537
1710444411.220848,2.8000474993559005e-05,-0.010873771728029238,-0.0008094967207471278
1710444411.2377872,2.8289751383479253e-05,-0.010988813597373293,-0.0008177490003076808
1710444411.2544222,2.8572212321618285e-05,-0.011101547385441467,-0.0008258043841296392
1710444411.2709177,2.8854887031909644e-05,-0.011213592540566555,-0.0008338103895525206
1710444411.2871172,2.914618287885908e-05,-0.01132372882558096,-0.0008416798387755188
1710444411.303896,2.943359376313332e-05,-0.01143777034361669,-0.0008498281658144237
1710444411.3207297,2.972398400631104e-05,-0.011552690958344599,-0.0008510765248102646
1710444411.3373969,3.000952846990568e-05,-0.011665856947612909,-0.0008647986803760825
1710444411.3542078,3.0303442639509015e-05,-0.01177947341590861,-0.0008742661711124497
1710444411.3712323,3.06358077428037e-05,-0.011895493381493141,-0.0008825872884554159
1710444411.3875494,3.091720592540418e-05,-0.012006753239908437,-0.0008905361105923348
1710444411.4037619,3.119696481902285e-05,-0.012117005651968974,-0.0008984128072849532
1710444411.4206905,3.148829483267458e-05,-0.012232072661349092,-0.0009066333141117965
1710444411.437721,3.178009100487384e-05,-0.012347787703091999,-0.0009148740834476736
1710444411.4549007,3.2093242873045805e-05,-0.012464890402178332,-0.0009161459520978964
1710444411.471684,3.2382012118774445e-05,-0.012579230241883333,-0.0009299631311636962
1710444411.486885,3.264516055281925e-05,-0.012682516412009901,-0.0009385688721807044
1710444411.5039198,3.2939278791079765e-05,-0.012798630962372822,-0.0009468703557765603
1710444411.5205386,3.3227176392337184e-05,-0.01291147712281512,-0.0009549320636348979
1710444411.5372694,3.353140051483767e-05,-0.013025453625647172,-0.0009630493961035552
1710444411.5539165,3.3848816400706036e-05,-0.013138632974799945,-0.0009711350363781926
