Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1710444410.453504,212,1710444410,453398943,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7401708580246732e-05,-0.006744726213367738,-9.810475632237031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444410.4698253,213,1710444410,469697952,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6303072783467383e-05,-0.0067373377061351455,-9.810476097898295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444410.4867368,214,1710444410,486564398,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8110778682507947e-05,-0.006752098349696476,-9.810475632237031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444410.503693,215,1710444410,503479958,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7434679537976805e-05,-0.00673755780384252,-9.810476097898295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444410.5197775,216,1710444410,519668341,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6786295999715984e-05,-0.006751782300302622,-9.810002054730333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444410.5363998,217,1710444410,536273718,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.690272463868915e-05,-0.006737886586161595,-9.810945950114872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444410.5532997,218,1710444410,553196669,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.647238001032422e-05,-0.006752124042920581,-9.810489602074986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444410.5708566,219,1710444410,570747375,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.904767453220688e-05,-0.0067375678082837644,-9.810476097898295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444410.5869465,220,1710444410,586733341,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6447312951975644e-05,-0.006744720074278792,-9.810475632237031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444410.6072252,221,1710444410,607088566,map,0.0004086122062682996,6.0238087248861995e-06,1.59757293936501e-08,0.9999999164998857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6975306575699586e-05,-0.0067449294854239296,-9.810475632237031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
